CHILD,PATTERN_ABSTRACT,POS,CHILD_DER_CAT,PARENT,PARENT_PATTERN_ABSTRACT,PARENT_POS,
ACT_PRTC:1A2i3,1A2i3,ADJ,ACT_PRTC,V_I:1a2a3,1a2a3,VERB,
ACT_PRTC:1A2i3,1A2i3,ADJ,ACT_PRTC,V_I:1a2a3_INTRANS,1a2a3_INTRANS,VERB,
ACT_PRTC:1A2i3,1A2i3,ADJ,ACT_PRTC,V_I:1a2a3,1a2i3,VERB,
ACT_PRTC:1A2i3,1A2i3,ADJ,ACT_PRTC,V_I:1a2a3_INTRANS,1a2i3_INTRANS,VERB,
ACT_PRTC:1A2i3,1A2i3,ADJ,ACT_PRTC,V_I:1a2a3_INTRANS,1a2u3_INTRANS,VERB,
ِADJ_COMP_1,>a1o2a3,ADJ_COMP,COMP_ADJ,DES_ADJ:>a1o2a3,>a1o2a3,ADJ,
ِADJ_COMP_2,>a1o2a3,ADJ_COMP,COMP_ADJ,DES_ADJ:1a2~i3,1a2~i3,ADJ,
ِADJ_COMP_3,>a1o2a3,ADJ_COMP,COMP_ADJ,DES_ADJ:1a2a3,1a2a3,ADJ,
ِADJ_COMP_4,>a1o2a3,ADJ_COMP,COMP_ADJ,DES_ADJ:1a2A3,1a2A3,ADJ,
ِADJ_COMP_5,>a1o2a3,ADJ_COMP,COMP_ADJ,DES_ADJ:1A2i3,1A2i3,ADJ,
ِADJ_COMP_6,>a1o2a3,ADJ_COMP,COMP_ADJ,DES_ADJ:1a2i3,1a2i3,ADJ,
ِADJ_COMP_7,>a1o2a3,ADJ_COMP,COMP_ADJ,DES_ADJ:1a2iy3,1a2iy3,ADJ,
ِADJ_COMP_8,>a1o2a3,ADJ_COMP,COMP_ADJ,DES_ADJ:1a2o3,1a2o3,ADJ,
ِADJ_COMP_9,>a1o2a3,ADJ_COMP,COMP_ADJ,DES_ADJ:1a2o3An,1a2o3An,ADJ,
ِADJ_COMP_10,>a1o2a3,ADJ_COMP,COMP_ADJ,DES_ADJ:1a2o3aY,1a2o3aY,ADJ,
ِADJ_COMP_11,>a1o2a3,ADJ_COMP,COMP_ADJ,DES_ADJ:1a2uw3,1a2uw3,ADJ,
ِADJ_COMP_12,>a1o2a3,ADJ_COMP,COMP_ADJ,DES_ADJ:1u2A3,1u2A3,ADJ,
ِADJ_COMP_13,>a1o2a3,ADJ_COMP,COMP_ADJ,DES_ADJ:1u2o3,1u2o3,ADJ,
ِADJ_COMP_14,>a1o2a3,ADJ_COMP,COMP_ADJ,DES_ADJ:1u2o3An,1u2o3An,ADJ,
ِADJ_COMP_15,>a1o2a3,ADJ_COMP,COMP_ADJ,DES_ADJ:1u2u3,1u2u3,ADJ,
ِADJ_COMP_16,>a1o2a3,ADJ_COMP,COMP_ADJ,DES_ADJ:ma1o2uw3,ma1o2uw3,ADJ,
ِADJ_COMP_17,>a1o2a3,ADJ_COMP,COMP_ADJ,DES_ADJ:mu1A2i3,mu1A2i3,ADJ,
ِADJ_COMP_18,>a1o2a3,ADJ_COMP,COMP_ADJ,DES_ADJ:mu1o2i3,mu1o2i3,ADJ,
ADJ_M:>a12a3,>a1o2a3,ADJ,DES_ADJ,V_I:1a2i3_INTRANS,1a2a3_INTRANS,VERB,
ADJ_M:>a12a3,>a1o2a3,ADJ,DES_ADJ,V_I:1a2i3_INTRANS,1a2i3_INTRANS,VERB,
ADJ_M:>a12a3,>a1o2a3,ADJ,DES_ADJ,V_I:1a2i3_INTRANS,1a2u3_INTRANS,VERB,
ADJ_M:>a12a3,>a1o2a3,ADJ,DES_ADJ,V_I:1a2a3,1a2a3,VERB,
ADJ_M:>a12a3,>a1o2a3,ADJ,DES_ADJ,V_I:1a2i3,1a2i3,VERB,
ADJ:1a2~i3,1a2~i3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2a3_INTRANS,VERB,
ADJ:1a2~i3,1a2~i3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2i3_INTRANS,VERB,
ADJ:1a2~i3,1a2~i3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2u3_INTRANS,VERB,
ADJ:1a2~i3,1a2~i3,ADJ,DES_ADJ,V_I:1a2a3,1a2a3,VERB,
ADJ:1a2~i3,1a2~i3,ADJ,DES_ADJ,V_I:1a2i3,1a2i3,VERB,
ADJ:1a2a3,1a2a3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2u3_INTRANS,VERB,
ADJ:1a2a3,1a2a3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2i3_INTRANS,VERB,
ADJ:1a2a3,1a2a3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2a3_INTRANS,VERB,
ADJ:1a2a3,1a2a3,ADJ,DES_ADJ,V_I:1a2i3,1a2i3,VERB,
ADJ:1a2a3,1a2a3,ADJ,DES_ADJ,V_I:1a2a3,1a2a3,VERB,
ADJ:1a2A3,1a2A3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2u3_INTRANS,VERB,
ADJ:1a2A3,1a2A3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2a3_INTRANS,VERB,
ADJ:1a2A3,1a2A3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2i3_INTRANS,VERB,
ADJ:1a2A3,1a2A3,ADJ,DES_ADJ,V_I:1a2a3,1a2a3,VERB,
ADJ:1a2A3,1a2A3,ADJ,DES_ADJ,V_I:1a2i3,1a2i3,VERB,
ADJ:1A2i3,1A2i3,ADJ,DES_ADJ,V_I:1a2a3_INTRANS,1a2u3_INTRANS,VERB,
ADJ:1A2i3,1A2i3,ADJ,DES_ADJ,V_I:1a2a3_INTRANS,1a2a3_INTRANS,VERB,
ADJ:1A2i3,1A2i3,ADJ,DES_ADJ,V_I:1a2a3_INTRANS,1a2i3_INTRANS,VERB,
ADJ:1A2i3,1A2i3,ADJ,DES_ADJ,V_I:1a2a3,1a2a3,VERB,
ADJ:1A2i3,1A2i3,ADJ,DES_ADJ,V_I:1a2i3,1a2i3,VERB,
ADJ:1a2i3,1a2i3,ADJ,DES_ADJ,V_I:1a2i3_INTRANS,1a2i3_INTRANS,VERB,
ADJ:1a2i3,1a2i3,ADJ,DES_ADJ,V_I:1a2i3_INTRANS,1a2a3_INTRANS,VERB,
ADJ:1a2i3,1a2i3,ADJ,DES_ADJ,V_I:1a2i3_INTRANS,1a2u3_INTRANS,VERB,
ADJ:1a2i3,1a2i3,ADJ,DES_ADJ,V_I:1a2i3,1a2i3,VERB,
ADJ:1a2i3,1a2i3,ADJ,DES_ADJ,V_I:1a2a3,1a2a3,VERB,
ADJ:1a2iy3,1a2iy3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2u3_INTRANS,VERB,
ADJ:1a2iy3,1a2iy3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2a3_INTRANS,VERB,
ADJ:1a2iy3,1a2iy3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2i3_INTRANS,VERB,
ADJ:1a2iy3,1a2iy3,ADJ,DES_ADJ,V_I:1a2a3,1a2a3,VERB,
ADJ:1a2iy3,1a2iy3,ADJ,DES_ADJ,V_I:1a2i3,1a2i3,VERB,
ADJ:1a23,1a2o3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2u3_INTRANS,VERB,
ADJ:1a23,1a2o3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2a3_INTRANS,VERB,
ADJ:1a23,1a2o3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2i3_INTRANS,VERB,
ADJ:1a23,1a2o3,ADJ,DES_ADJ,V_I:1a2a3,1a2a3,VERB,
ADJ:1a23,1a2o3,ADJ,DES_ADJ,V_I:1a2i3,1a2i3,VERB,
ADJ_F:1a23A',1a2o3A',ADJ,DES_ADJ,V_I:1a2i3_INTRANS,1a2u3_INTRANS,VERB,
ADJ_F:1a23A',1a2o3A',ADJ,DES_ADJ,V_I:1a2i3_INTRANS,1a2u3_INTRANS,VERB,
ADJ_F:1a23A',1a2o3A',ADJ,DES_ADJ,V_I:1a2i3_INTRANS,1a2u3_INTRANS,VERB,
ADJ_F:1a23A',1a2o3A',ADJ,DES_ADJ,V_I:1a2i3,1a2i3,VERB,
ADJ_F:1a23A',1a2o3A',ADJ,DES_ADJ,V_I:1a2i3,1a2i3,VERB,
ADJ_M:1a2o3An,1a2o3An,ADJ,DES_ADJ,V_I:1a2i3_INTRANS,1a2u3_INTRANS,VERB,
ADJ_M:1a2o3An,1a2o3An,ADJ,DES_ADJ,V_I:1a2i3_INTRANS,1a2i3_INTRANS,VERB,
ADJ_M:1a2o3An,1a2o3An,ADJ,DES_ADJ,V_I:1a2i3_INTRANS,1a2a3_INTRANS,VERB,
ADJ_M:1a2o3An,1a2o3An,ADJ,DES_ADJ,V_I:1a2i3,1a2i3,VERB,
ADJ_M:1a2o3An,1a2o3An,ADJ,DES_ADJ,V_I:1a2a3,1a2a3,VERB,
ADJ_F:1a2o3aY,1a2o3aY,ADJ,DES_ADJ,V_I:1a2i3_INTRANS,1a2u3_INTRANS,VERB,
ADJ_F:1a2o3aY,1a2o3aY,ADJ,DES_ADJ,V_I:1a2i3_INTRANS,1a2a3_INTRANS,VERB,
ADJ_F:1a2o3aY,1a2o3aY,ADJ,DES_ADJ,V_I:1a2i3_INTRANS,1a2i3_INTRANS,VERB,
ADJ_F:1a2o3aY,1a2o3aY,ADJ,DES_ADJ,V_I:1a2i3,1a2i3,VERB,
ADJ_F:1a2o3aY,1a2o3aY,ADJ,DES_ADJ,V_I:1a2a3,1a2a3,VERB,
ADJ:1a2uw3,1a2uw3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2u3_INTRANS,VERB,
ADJ:1a2uw3,1a2uw3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2a3_INTRANS,VERB,
ADJ:1a2uw3,1a2uw3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2i3_INTRANS,VERB,
ADJ:1a2uw3,1a2uw3,ADJ,DES_ADJ,V_I:1a2a3,1a2a3,VERB,
ADJ:1a2uw3,1a2uw3,ADJ,DES_ADJ,V_I:1a2i3,1a2i3,VERB,
ADJ:1u2A3,1u2A3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2u3_INTRANS,VERB,
ADJ:1u2A3,1u2A3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2a3_INTRANS,VERB,
ADJ:1u2A3,1u2A3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2i3_INTRANS,VERB,
ADJ:1u2A3,1u2A3,ADJ,DES_ADJ,V_I:1a2a3,1a2a3,VERB,
ADJ:1u2A3,1u2A3,ADJ,DES_ADJ,V_I:1a2i3,1a2i3,VERB,
ADJ:1u2o3,1u2o3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2u3_INTRANS,VERB,
ADJ:1u2o3,1u2o3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2a3_INTRANS,VERB,
ADJ:1u2o3,1u2o3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2i3_INTRANS,VERB,
ADJ:1u2o3,1u2o3,ADJ,DES_ADJ,V_I:1a2a3,1a2a3,VERB,
ADJ:1u2o3,1u2o3,ADJ,DES_ADJ,V_I:1a2i3,1a2i3,VERB,
ADJ:1u2o3An,1u2o3An,ADJ,DES_ADJ,V_I:1a2a3_INTRANS,1a2a3_INTRANS,VERB,
ADJ:1u2o3An,1u2o3An,ADJ,DES_ADJ,V_I:1a2a3_INTRANS,1a2u3_INTRANS,VERB,
ADJ:1u2o3An,1u2o3An,ADJ,DES_ADJ,V_I:1a2a3_INTRANS,1a2i3_INTRANS,VERB,
ADJ:1u2o3An,1u2o3An,ADJ,DES_ADJ,V_I:1a2a3,1a2a3,VERB,
ADJ:1u2o3An,1u2o3An,ADJ,DES_ADJ,V_I:1a2i3,1a2i3,VERB,
ADJ:1u2u3,1u2u3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2u3_INTRANS,VERB,
ADJ:1u2u3,1u2u3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2i3_INTRANS,VERB,
ADJ:1u2u3,1u2u3,ADJ,DES_ADJ,V_I:1a2u3_INTRANS,1a2a3_INTRANS,VERB,
ADJ:1u2u3,1u2u3,ADJ,DES_ADJ,V_I:1a2i3,1a2i3,VERB,
ADJ:1u2u3,1u2u3,ADJ,DES_ADJ,V_I:1a2a3,1a2a3,VERB,
ADJ:ma1o2uw3,ma1o2uw3,ADJ,DES_ADJ,V_I:1a2a3_INTRANS,1a2u3_INTRANS,VERB,
ADJ:ma1o2uw3,ma1o2uw3,ADJ,DES_ADJ,V_I:1a2a3_INTRANS,1a2a3_INTRANS,VERB,
ADJ:ma1o2uw3,ma1o2uw3,ADJ,DES_ADJ,V_I:1a2a3_INTRANS,1a2i3_INTRANS,VERB,
ADJ:ma1o2uw3,ma1o2uw3,ADJ,DES_ADJ,V_I:1a2a3,1a2a3,VERB,
ADJ:ma1o2uw3,ma1o2uw3,ADJ,DES_ADJ,V_I:1a2i3,1a2i3,VERB,
MASDAR_M: ma1o2a3,ma12a3,NOUN,MASDAR_M,V_I:>a1o2a3,>a1o2a3,VERB,
MASDAR_M: ma1o2a3,ma12a3,NOUN,MASDAR_M,V_IV:>a1o2a3_INTRANS,>a1o2a3_INTRANS,VERB,
MASDAR_M:ma1A3,ma1A3,NOUN,MASDAR_M,V_I:1a2a3,1a2a3,VERB,
MASDAR_M:ma1A3,ma1A3,NOUN,MASDAR_M,V_I:1a2i3,1a2i3,VERB,
MASDAR_M:ma1A3,ma1A3,NOUN,MASDAR_M,V_I:1a2a3_INTRANS,1a2a3_INTRANS,VERB,
MASDAR_M:ma1A3,ma1A3,NOUN,MASDAR_M,V_I:1a2a3_INTRANS,1a2i3_INTRANS,VERB,
MASDAR_M:ma1A3,ma1A3,NOUN,MASDAR_M,V_I:1a2a3_INTRANS,1a2u3_INTRANS,VERB,
MASDAR_M:ma1a3o3+ap,ma1a3o3+ap,NOUN,MASDAR_M,V_I:1a2a3,1a2a3,VERB,
MASDAR_M:ma1a3o3+ap,ma1a3o3+ap,NOUN,MASDAR_M,V_I:1a2i3,1a2i3,VERB,
MASDAR_M:ma1a3o3+ap,ma1a3o3+ap,NOUN,MASDAR_M,V_I:1a2a3_INTRANS,1a2a3_INTRANS,VERB,
MASDAR_M:ma1a3o3+ap,ma1a3o3+ap,NOUN,MASDAR_M,V_I:1a2a3_INTRANS,1a2i3_INTRANS,VERB,
MASDAR_M:ma1a3o3+ap,ma1a3o3+ap,NOUN,MASDAR_M,V_I:1a2a3_INTRANS,1a2u3_INTRANS,VERB,
MASDAR_M:ma1iy3,ma1iy3,NOUN,MASDAR_M,V_I:1a2a3,1a2a3,VERB,
MASDAR_M:ma1iy3,ma1iy3,NOUN,MASDAR_M,V_I:1a2i3,1a2i3,VERB,
MASDAR_M:ma1iy3,ma1iy3,NOUN,MASDAR_M,V_I:1a2a3_INTRANS,1a2a3_INTRANS,VERB,
MASDAR_M:ma1iy3,ma1iy3,NOUN,MASDAR_M,V_I:1a2a3_INTRANS,1a2i3_INTRANS,VERB,
MASDAR_M:ma1iy3,ma1iy3,NOUN,MASDAR_M,V_I:1a2a3_INTRANS,1a2u3_INTRANS,VERB,
MASDAR_M:ma1o2a3,ma1o2a3,NOUN,MASDAR_M,V_I:1a2a3,1a2a3,VERB,
MASDAR_M:ma1o2a3,ma1o2a3,NOUN,MASDAR_M,V_I:1a2i3,1a2i3,VERB,
MASDAR_M:ma1o2a3,ma1o2a3,NOUN,MASDAR_M,V_I:1a2a3_INTRANS,1a2a3_INTRANS,VERB,
MASDAR_M:ma1o2a3,ma1o2a3,NOUN,MASDAR_M,V_I:1a2a3_INTRANS,1a2i3_INTRANS,VERB,
MASDAR_M:ma1o2a3,ma1o2a3,NOUN,MASDAR_M,V_I:1a2a3_INTRANS,1a2u3_INTRANS,VERB,
MASDAR_M:ma1o2i3+ap,ma1o2i3+ap,NOUN,MASDAR_M,V_I:1a2a3,1a2a3,VERB,
MASDAR_M:ma1o2i3+ap,ma1o2i3+ap,NOUN,MASDAR_M,V_I:1a2i3,1a2i3,VERB,
MASDAR_M:ma1o2i3+ap,ma1o2i3+ap,NOUN,MASDAR_M,V_I:1a2i3_INTRANS,1a2a3_INTRANS,VERB,
MASDAR_M:ma1o2i3+ap,ma1o2i3+ap,NOUN,MASDAR_M,V_I:1a2a3,1a2a3,VERB,
MASDAR:1a2a3,1a2a3,NOUN,N_VERB_I,V_I:1a2a3,1a2a3,VERB,
MASDAR:1a2a3,1a2a3,NOUN,N_VERB_I,V_I:1a2a3_INTRANS,1a2a3_INTRANS,VERB,
MASDAR:1a2A3,1a2A3,NOUN,N_VERB_I,V_I:1a2a3_INTRANS,1a2a3_INTRANS,VERB,
MASDAR:1a2A3,1a2A3,NOUN,N_VERB_I,V_I:1a2a3,1a2a3,VERB,
MASDAR:1a2A3,1a2A3,NOUN,N_VERB_I,V_I:1a2a3_INTRANS,1a2i3_INTRANS,VERB,
MASDAR:1a2A3,1a2A3,NOUN,N_VERB_I,V_I:1a2i3,1a2i3,VERB,
MASDAR:1a2A3,1a2A3,NOUN,N_VERB_I,V_I:1a2a3_INTRANS,1a2u3_INTRANS,VERB,
MASDAR:1i2A3,1i2A3,NOUN,N_VERB_I,V_I:1a2a3,1a2a3,VERB,
MASDAR:1i2A3,1i2A3,NOUN,N_VERB_I,V_I:1a2i3,1a2i3,VERB,
MASDAR:1a2a3+ap,1a2a3+ap,NOUN,N_VERB_I,V_I:1a2a3_INTRANS,1a2a3_INTRANS,VERB,
MASDAR:1a2a3+ap,1a2a3+ap,NOUN,N_VERB_I,V_I:1a2a3,1a2a3,VERB,
MASDAR:1a2a3+ap,1a2a3+ap,NOUN,N_VERB_I,V_I:1a2a3_INTRANS,1a2i3_INTRANS,VERB,
MASDAR:1a2a3+ap,1a2a3+ap,NOUN,N_VERB_I,V_I:1a2i3,1a2i3,VERB,
MASDAR:1a2A3+ap,1a2A3+ap,NOUN,N_VERB_I,V_I:1a2u3_INTRANS,1a2u3_INTRANS,VERB,
MASDAR:1a2a3An,1a2a3An,NOUN,N_VERB_I,V_I:1a2i3_INTRANS,1a2i3_INTRANS,VERB,
MASDAR:1a2a3An,1a2a3An,NOUN,N_VERB_I,V_I:1a2i3,1a2i3,VERB,
MASDAR:1a2a3An,1a2a3An,NOUN,N_VERB_I,V_I:1a2i3_INTRANS,1a2a3_INTRANS,VERB,
MASDAR:1a2a3An,1a2a3An,NOUN,N_VERB_I,V_I:1a2a3,1a2a3,VERB,
MASDAR:1a2a3An,1a2a3An,NOUN,N_VERB_I,V_I:1a2i3_INTRANS,1a2u3_INTRANS,VERB,
MASDAR:1a2iy3,1a2iy3,NOUN,N_VERB_I,V_I:1a2a3,1a2a3,VERB,
MASDAR:1a2iy3,1a2iy3,NOUN,N_VERB_I,V_I:1a2i3,1a2i3,VERB,
MASDAR:1a2iy3+ap,1a2iy3+ap,NOUN,N_VERB_I,V_I:1a2u3_INTRANS,1a2u3_INTRANS,VERB,
MASDAR:1a2iy3+ap,1a2iy3+ap,NOUN,N_VERB_I,V_I:1a2u3_INTRANS,1a2i3_INTRANS,VERB,
MASDAR:1a2iy3+ap,1a2iy3+ap,NOUN,N_VERB_I,V_I:1a2u3_INTRANS,1a2a3_INTRANS,VERB,
MASDAR:1a2iy3+ap,1a2iy3+ap,NOUN,N_VERB_I,V_I:1a2a3,1a2a3,VERB,
MASDAR:1a2iy3+ap,1a2iy3+ap,NOUN,N_VERB_I,V_I:1a2i3,1a2i3,VERB,
MASDAR:1a2o3,1a2o3,NOUN,N_VERB_I,V_I:1a2a3,1a2a3,VERB,
MASDAR:1a2o3,1a2o3,NOUN,N_VERB_I,V_I:1a2i3,1a2i3,VERB,
MASDAR:1a2o3+ap,1a2o3+ap,NOUN,N_VERB_I,V_I:1a2a3,1a2a3,VERB,
MASDAR:1a2o3+ap,1a2o3+ap,NOUN,N_VERB_I,V_I:1a2i3,1a2i3,VERB,
MASDAR:1a2o3aY,1a2o3aY,NOUN,N_VERB_I,V_I:1a2a3,1a2a3,VERB,
MASDAR:1a2o3aY,1a2o3aY,NOUN,N_VERB_I,V_I:1a2i3,1a2i3,VERB,
MASDAR:1a2o3aY,1a2o3aY,NOUN,N_VERB_I,V_I:1a2a3_INTRANS,1a2u3_INTRANS,VERB,
MASDAR:1a2uw3,1a2uw3,NOUN,N_VERB_I,V_I:1a2i3,1a2i3,VERB,
MASDAR:1a2uw3,1a2uw3,NOUN,N_VERB_I,V_I:1a2a3,1a2a3,VERB,
MASDAR:1a2uw3,1a2uw3,NOUN,N_VERB_I,V_I:1a2i3_INTRANS,1a2u3_INTRANS,VERB,
MASDAR:1a2uw3,1a2uw3,NOUN,N_VERB_I,V_I:1a2i3_INTRANS,1a2a3_INTRANS,VERB,
MASDAR:1a2uw3,1a2uw3,NOUN,N_VERB_I,V_I:1a2i3_INTRANS,1a2i3_INTRANS,VERB,
MASDAR:1i2A3+ap,1i2A3+ap,NOUN,N_VERB_I,V_I:1a2a3,1a2a3,VERB,
MASDAR:1i2A3+ap,1i2A3+ap,NOUN,N_VERB_I,V_I:1a2i3,1a2i3,VERB,
MASDAR:1i2o3,1i2o3,NOUN,N_VERB_I,V_I:1a2i3,1a2i3,VERB,
MASDAR:1i2o3,1i2o3,NOUN,N_VERB_I,V_I:1a2a3,1a2a3,VERB,
MASDAR:1i2o3+ap,1i2o3+ap,NOUN,N_VERB_I,V_I:1a2a3,1a2a3,VERB,
MASDAR:1i2o3+ap,1i2o3+ap,NOUN,N_VERB_I,V_I:1a2i3,1a2i3,VERB,
MASDAR:1i2o3An,1i2o3An,NOUN,N_VERB_I,V_I:1a2a3,1a2a3,VERB,
MASDAR:1i2o3An,1i2o3An,NOUN,N_VERB_I,V_I:1a2i3,1a2i3,VERB,
MASDAR:1u2A3,1u2A3,NOUN,N_VERB_I,V_I:1a2a3,1a2a3,VERB,
MASDAR:1u2A3,1u2A3,NOUN,N_VERB_I,V_I:1a2i3,1a2i3,VERB,
MASDAR:1u2o3,1u2o3,NOUN,N_VERB_I,V_I:1a2u3_INTRANS,1a2u3_INTRANS,VERB,
MASDAR:1u2o3,1u2o3,NOUN,N_VERB_I,V_I:1a2a3,1a2a3,VERB,
MASDAR:1u2o3,1u2o3,NOUN,N_VERB_I,V_I:1a2i3,1a2i3,VERB,
MASDAR:1u2o3+ap,1u2o3+ap,NOUN,N_VERB_I,V_I:1a2a3,1a2a3,VERB,
MASDAR:1u2o3+ap,1u2o3+ap,NOUN,N_VERB_I,V_I:1a2i3,1a2i3,VERB,
MASDAR:1a2a3,1a2a3,NOUN,N_VERB_I,V_I:1a2i3_INTRANS,1a2i3_INTRANS,VERB,
MASDAR:1a2a3,1a2a3,NOUN,N_VERB_I,V_I:1a2i3,1a2i3,VERB,
MASDAR:1a2a3,1a2a3,NOUN,N_VERB_I,V_I:1a2i3_INTRANS,1a2u3_INTRANS,VERB,
MASDAR:1i2A3,1i2A3,NOUN,N_VERB_I,V_I:1a2a3_INTRANS,1a2a3_INTRANS,VERB,
MASDAR:1i2A3,1i2A3,NOUN,N_VERB_I,V_I:1a2u3_INTRANS,1a2a3_INTRANS,VERB,
MASDAR:1i2A3,1i2A3,NOUN,N_VERB_I,V_I:1a2i3_INTRANS,1a2a3_INTRANS,VERB,
MASDAR:1a2iy3,1a2iy3,NOUN,N_VERB_I,V_I:1a2i3_INTRANS,1a2a3_INTRANS,VERB,
MASDAR:1a2iy3,1a2iy3,NOUN,N_VERB_I,V_I:1a2i3_INTRANS,1a2i3_INTRANS,VERB,
MASDAR:1a2iy3,1a2iy3,NOUN,N_VERB_I,V_I:1a2i3_INTRANS,1a2u3_INTRANS,VERB,
MASDAR:1a2o3,1a2o3,NOUN,N_VERB_I,V_I:1a2a3_INTRANS,1a2a3_INTRANS,VERB,
MASDAR:1a2o3,1a2o3,NOUN,N_VERB_I,V_I:1a2a3_INTRANS,1a2u3_INTRANS,VERB,
MASDAR:1a2o3,1a2o3,NOUN,N_VERB_I,V_I:1a2a3_INTRANS,1a2i3_INTRANS,VERB,
MASDAR:1a2o3+ap,1a2o3+ap,NOUN,N_VERB_I,V_I:1a2i3_INTRANS,1a2a3_INTRANS,VERB,
MASDAR:1a2o3+ap,1a2o3+ap,NOUN,N_VERB_I,V_I:1a2i3_INTRANS,1a2i3_INTRANS,VERB,
MASDAR:1a2o3+ap,1a2o3+ap,NOUN,N_VERB_I,V_I:1a2i3_INTRANS,1a2u3_INTRANS,VERB,
MASDAR:1a2o3aY,1a2o3aY,NOUN,N_VERB_I,V_I:1a2a3_INTRANS,1a2a3_INTRANS,VERB,
MASDAR:1a2o3aY,1a2o3aY,NOUN,N_VERB_I,V_I:1a2a3_INTRANS,1a2i3_INTRANS,VERB,
